document_id;source_file;source_link;question;content
6;15.txt;http://archiwalna.udsc.gov.pl/en/cudzoziemcy/obywatele-panstw-trzecich/chce-przyjechac-do-polski/gdzie-uzyskac-wize/;Where to obtain a visa?; in the territory of Poland or to several consecutive stays which jointly last longer than 90 days, the period of validity of a national visa cannot exceed 1 year. Territorial competence of a consul : According to Article 6 of the Community Code on Visas the application for issuing a visa is discussed by a consulate of the competent Member State, in the area of which the person applying for a visa has been staying legally. A consulate of the competent Member State examines the application submitted by a third country national who has been staying legally, but not living in the area of the consulate ’ s competence, if the person applying for a visa justified the submission of the application in this consulate. National visa for the purpose of work is 
6;15.txt;http://archiwalna.udsc.gov.pl/en/cudzoziemcy/obywatele-panstw-trzecich/chce-przyjechac-do-polski/gdzie-uzyskac-wize/;Where to obtain a visa?; third country national who has been staying legally, but not living in the area of the consulate ’ s competence, if the person applying for a visa justified the submission of the application in this consulate. National visa for the purpose of work is issued by the consul competent with regard to the state of the foreigner ’ s permanent residence, and in the case of a foreigner staying legally on the territory of another Member State of the EU / EEA / Switzerland – the consul whose seat is located in the given state, unless a foreigner justified the submission of the application outside the state of permanent residence Addresses of Polish diplomatic and consular institutions abroad are available at the website of the Ministry of Foreign Affairs at the following link – https 
6;15.txt;http://archiwalna.udsc.gov.pl/en/cudzoziemcy/obywatele-panstw-trzecich/chce-przyjechac-do-polski/gdzie-uzyskac-wize/;Where to obtain a visa?; is located in the given state, unless a foreigner justified the submission of the application outside the state of permanent residence Addresses of Polish diplomatic and consular institutions abroad are available at the website of the Ministry of Foreign Affairs at the following link – https : / / www. gov. pl / web / dyplomacja Visa sticker template ( which is the same for Schengen and national visas ) is available at websites of the PRADO register ( PUBLIC REGISTER OF AUTHENTIC TRAVEL AND IDENTITY DOCUMENTS ). 
7;16.txt;https://www.gov.pl/web/diplomacy/visas;What is a C-type visa?; C - type visa - The Uniform Schengen Visa is valid in the Schengen Area and permits its holder to remain in the territory of all of the Schengen Area Member Countries for a maximum of 90 days during a 180 - day period. Schengen Visa with limited territorial validity is valid in the territory of one or more Schengen Area Member States, but not in all the Schengen Area Member States and permits its holder to remain in their territories for a maximum of 90 days during a 180 - day period. What documents are needed when applying for a C - type visa? ? A travel document ( passport document ) which : is valid for at least three months after the planned date for leaving the Schengen Area or, in the event of multiple visits, after the planned date 
7;16.txt;https://www.gov.pl/web/diplomacy/visas;What is a C-type visa?;" are needed when applying for a C - type visa? ? A travel document ( passport document ) which : is valid for at least three months after the planned date for leaving the Schengen Area or, in the event of multiple visits, after the planned date for the last leave of the Schengen Area, contains at least two blank pages, was issued during the last ten years ; ? A filled out and signed visa application ; ? A photograph ; ? A proof of visa payment ; ? A medical travel insurance whose coverage amounts to not less than EUR 30, 000, valid throughout the Schengen Area, and covering all expenses that may arise in connection with the need to return for medical reasons, a medical emergency, urgent hospitalisation or death ; ? Supporting documents "
7;16.txt;https://www.gov.pl/web/diplomacy/visas;What is a C-type visa?;" insurance whose coverage amounts to not less than EUR 30, 000, valid throughout the Schengen Area, and covering all expenses that may arise in connection with the need to return for medical reasons, a medical emergency, urgent hospitalisation or death ; ? Supporting documents : A document confirming the purpose of travel ; A document confirming possession of adequate financial resources to cover the costs of living during the planned stay and to cover the costs of return to the country of origin or residence, or to cover the costs of transit to a third country, which will certainly give permission for entry, or documents confirming that the applicant can legally obtain such funds ; A document concerning accommodation or possession of financial resources to cover the costs of accommodation ; A document that permits to "
7;16.txt;https://www.gov.pl/web/diplomacy/visas;What is a C-type visa?;" costs of transit to a third country, which will certainly give permission for entry, or documents confirming that the applicant can legally obtain such funds ; A document concerning accommodation or possession of financial resources to cover the costs of accommodation ; A document that permits to assess whether the applicant will leave the Schengen Area before the visa expires. Supporting documents may be different depending on the country where a visa application is submitted. For more details, please contact the relevant consular post. "
8;17.txt;https://www.gov.pl/web/diplomacy/visas;What is a D- type national visa?;" A D - type national visa permits to enter the territory of the Republic of Poland and to stay continuously or for several successive times in this territory for a total duration of more than 90 days during the period of validity of the visa, but not longer than one year. A D - type national visa also permits to travel in the territory of other Schengen Area Member States for up to 90 days during a 180 - day period, during the validity period of the visa. What documents are needed when applying for a D - type visa? ? A travel document ( passport document ) ; ? A filled out and signed visa application ; ? A photograph ; ? A proof of visa payment ; ? A medical travel insurance whose coverage amounts to not less than EUR 30 "
8;17.txt;https://www.gov.pl/web/diplomacy/visas;What is a D- type national visa?;" for a D - type visa? ? A travel document ( passport document ) ; ? A filled out and signed visa application ; ? A photograph ; ? A proof of visa payment ; ? A medical travel insurance whose coverage amounts to not less than EUR 30, 000, and covering all expenses that may arise in connection with the need to return for medical reasons, a medical emergency, urgent hospitalisation or death, or medical insurance within the meaning of Polish regulations on health care benefits financed out of public funds ; ? Supporting documents : A document confirming the purpose of travel and conditions of stay ; A document confirming possession of adequate financial resources to cover the costs of living during the planned stay and to cover the costs of return to the country of "
8;17.txt;https://www.gov.pl/web/diplomacy/visas;What is a D- type national visa?;" public funds ; ? Supporting documents : A document confirming the purpose of travel and conditions of stay ; A document confirming possession of adequate financial resources to cover the costs of living during the planned stay and to cover the costs of return to the country of origin or residence, or to cover the costs of transit to a third country, which will certainly give permission for entry, or documents confirming that the applicant can legally obtain such funds ; A document that permits to assess that the applicant will leave the territory of the Republic of Poland before the visa expires ; Other documents that confirm other circumstances referred to in the visa application. Supporting documents may be different depending on the country where a visa application is submitted. For more details, please contact the relevant "
8;17.txt;https://www.gov.pl/web/diplomacy/visas;What is a D- type national visa?;" the territory of the Republic of Poland before the visa expires ; Other documents that confirm other circumstances referred to in the visa application. Supporting documents may be different depending on the country where a visa application is submitted. For more details, please contact the relevant consular post. "
9;18.txt;https://www.gov.pl/web/diplomacy/visas;What is an A-type airport transit visa?; An airport transit visa is a visa valid for transit through the international transit areas of one or more airports of the Member States. To check if you need to apply for an airport transit visa, please visit the website of the European Commission at https : / / home - affairs. ec. europa. eu / policies / schengen - borders - and - visa / visa - policy / who - must - apply - schengen - visa _ en. In principle, in case of transit through the international transit areas of airports located in Poland, this will apply to citizens of : Afghanistan, Armenia, Bangladesh, Democratic Republic of Congo, Eritrea, Ethiopia, Ghana, Iran, Iraq, Cuba, Nigeria, Pakistan, Somalia and Sri Lanka. Please bear 
9;18.txt;https://www.gov.pl/web/diplomacy/visas;What is an A-type airport transit visa?; international transit areas of airports located in Poland, this will apply to citizens of : Afghanistan, Armenia, Bangladesh, Democratic Republic of Congo, Eritrea, Ethiopia, Ghana, Iran, Iraq, Cuba, Nigeria, Pakistan, Somalia and Sri Lanka. Please bear in mind that an airport transit visa only permits you to stay in the international transit area of an airport while awaiting a flight to your destination country. It does not entitle you to enter into or stay in the Schengen Area. 
10;19.txt;https://study-in-wroclaw.pl/en/wydatki;What is a costs of student living? What is the cost of student ID? ; During the first month in Poland the following costs should be taken into account : first month ’ s fee of the flat or dormitory + deposit ( depending on the university ) student ID card – about 17 PLN ( depending on the university ) certified translation of documents – about 25 – 35 PLN per page ( 1125 characters without spaces ) buying a mobile network starter kit – between 5 and 20 PLN ( amount to be used later ) Other possible costs : legalization of stay in Poland – residence card ( if needed ) 340 PLN. photographs of the left half - profile with the left ear visible ( 4 photos cost on average 30 – 50 PLN ) 
11;2.txt;https://przybysz.duw.pl/en/faq-frequently-asked-questions/;"What are the most frequent mistakes made in the forms submitted for Work permission?
How should I avoid mistakes in form for work permit?";" The most frequent mistakes made while submitting the form to obtain the permission for work for the foreigners are : Failure to mark point 5. 3 of the form ( point 6. 3 of the form to obtain extension of the permit ) regarding the criminal record of the foreigner. It is required to mark an appropriate field, one of two ; Incomplete filling out or total omission of appropriate fields in the appendix regarding lack of criminal record of the entity providing employment ( appendix 15. ) There are 6 points in the statement but eight answers and that amount of fields should be marked by the employer ; Undersigning of the above mentioned appendix by the proxy. This statement may be submitted only by the employer ; Not including the "
11;2.txt;https://przybysz.duw.pl/en/faq-frequently-asked-questions/;What are the most frequent mistakes made in the forms submitted for Work permission?How should I avoid mistakes in form for work permit?;". ) There are 6 points in the statement but eight answers and that amount of fields should be marked by the employer ; Undersigning of the above mentioned appendix by the proxy. This statement may be submitted only by the employer ; Not including the address of the workplace of the foreigner in the form ; Not including in the form submitted by the natural person of the valid ID card or passport ; Including only one page copy of the foreigner ’ s passport – copies of all filled out pages are required ; Including the copy of “ information of district head ” - the original document is required Not presenting the original of Power of Attorney. "
12;20.txt;https://study-in-wroclaw.pl/en/pesel-i-zameldowanie;What is PESEL? What do the digits in the PESEL number mean?; PESEL is the Universal Electronic System for Population Registration, which is a set of data in Poland that collects basic information ( identity, administrative and legal status, citizenship, civil status, date and address of registration / re - registration, information on identity and / or residence documents ) on Polish citizens and foreigners residing in the Republic of Poland. The term PESEL is also commonly used to denote a unique registration number of a natural person used in this register. PESEL is an 11 - digit unique symbol identifying a natural person. All actions related to opening a bank account, applying for a loan, buying a property, registering a car, calling an ambulance require the PESEL number. Each digit in PESEL has its own meaning : 
12;20.txt;https://study-in-wroclaw.pl/en/pesel-i-zameldowanie;What is PESEL? What do the digits in the PESEL number mean?; - digit unique symbol identifying a natural person. All actions related to opening a bank account, applying for a loan, buying a property, registering a car, calling an ambulance require the PESEL number. Each digit in PESEL has its own meaning : YYMMDDPPPPK YY — two last digits of year of birth MM — month of birth DD — day of birth PPPP — serial number containing information on gender. For females the last digit is even ( 0, 2, 4, 6, 8 ), for males it is odd ( 1, 3, 5, 7, 9 ) K – check digit 
13;21.txt;https://study-in-wroclaw.pl/en/zakwaterowanie;Where to live as a student? How much does the dormitory cost? How much does renting a room cost? How much does renting a flat cost?; There are several options for living for a student : The most comfortable and cheapest option is a dormitory. Rooms are mainly for 2 people and cost from 400 to 600 PLN per month per person. There is also the possibility of a single room, which will cost more – from 600 zł, but is cheaper compared to renting a room in a flat. The cost of renting a room in a flat for a student in Poland depends on the city, the distance from the university, the living conditions and the number of people in the room. The minimum cost of a room in Poland is 600 PLN ( provided that the room is for several people ). The third option is to rent a separate flat. Two - and three - room flats are rented 
13;21.txt;https://study-in-wroclaw.pl/en/zakwaterowanie;Where to live as a student? How much does the dormitory cost? How much does renting a room cost? How much does renting a flat cost?; and the number of people in the room. The minimum cost of a room in Poland is 600 PLN ( provided that the room is for several people ). The third option is to rent a separate flat. Two - and three - room flats are rented mainly for 4 - 6 people. The cost of a two - room flat is 2000 PLN. Despite the relatively high costs, foreign students are increasingly choosing flats – which makes them feel more independent. 
14;22.txt;https://study-in-wroclaw.pl/en/ubezpieczenie;How do I sign a contract with the NFZ? How to receive free medical care in Poland? As a student am I entitled to receive medical help?; In order to receive free medical care, we recommend that you take out health insurance in Poland. This can be done at the national health service – the National Health Fund ( NFZ ). A student who has signed an insurance contract and pays contributions on time, is entitled to receive medical care within a certain range on the territory of Poland in points which have a contract with the NFZ to provide medical assistance ( in such hospitals or clinics there is an appropriate sign with the inscription NFZ ). The monthly contribution is PLN 46. 80. When you go to the doctor ’ s, you need to bring a copy of your contract with the NFZ, as well as a form to the Social Insurance Institution ( ZUS ) and a confirmation of 
14;22.txt;https://study-in-wroclaw.pl/en/ubezpieczenie;How do I sign a contract with the NFZ? How to receive free medical care in Poland? As a student am I entitled to receive medical help?;. The monthly contribution is PLN 46. 80. When you go to the doctor ’ s, you need to bring a copy of your contract with the NFZ, as well as a form to the Social Insurance Institution ( ZUS ) and a confirmation of payment of contributions for the last month. To sign a contract with NFZ Go to the appropriate branch of the NFZ – Lower Silesian Branch of the National Health Fund, Insured Service Centre ( 2 Dawida Street, 50 - 527 Wrocław, tel. 71 797 91 32 ). You should have the following documents with you : document from university confirming that you are a student student card passport on the spot – fill in an application form for insurance. Come to the branch on 
14;22.txt;https://study-in-wroclaw.pl/en/ubezpieczenie;How do I sign a contract with the NFZ? How to receive free medical care in Poland? As a student am I entitled to receive medical help?; 527 Wrocław, tel. 71 797 91 32 ). You should have the following documents with you : document from university confirming that you are a student student card passport on the spot – fill in an application form for insurance. Come to the branch on the day designated by the NFZ to sign the voluntary insurance contract. After signing the agreement, register within 7 days at a branch or inspection of the Social Insurance Institution ( ZUS ), submitting a ZUS ZZA form. ZUS branch ( depending on where you live ) You can also insure yourself in private insurance agencies. You can choose any package of services depending on your needs and financial possibilities. 
15;23.txt;https://study-in-wroclaw.pl/en/ile-kosztuja-studia;What are the costs of the universities in Poland?;" According to the legislation, the cost of education at public universities starts at 2000 euros per year. Private universities, set their pricing policy based on the educational services they provide. Therefore, prices are quite diverse : from 800 to 3500 euros per year. As for the form of education, the price either does not differ at all, or the extramural mode of study is slightly lower. The cost of studying on an English - language programme is twice as expensive as the cost of the same programme but in Polish. Fields of study : The most expensive are medical and artistic majors. For example, studies for a surgeon, doctor or dentist range from 8000 - 12000 euros per year ; artistic majors – 6000 euros per year. Technical and IT areas – "
15;23.txt;https://study-in-wroclaw.pl/en/ile-kosztuja-studia;What are the costs of the universities in Poland?;" but in Polish. Fields of study : The most expensive are medical and artistic majors. For example, studies for a surgeon, doctor or dentist range from 8000 - 12000 euros per year ; artistic majors – 6000 euros per year. Technical and IT areas – from 2000 to 5000 euros per year. Also the price for foreigners varies from country to country, i. e. the cost of studying in Poland for people from Ukraine, Belarus, Kazakhstan, Georgia and Russia and the EU will be different than for African citizens. However, in 2019 there is a possibility to study on the basis of benefits without payment on condition that you have a certificate of knowledge of Polish as a foreign language at level C1, which is issued by the State Commission for the "
15;23.txt;https://study-in-wroclaw.pl/en/ile-kosztuja-studia;What are the costs of the universities in Poland?; than for African citizens. However, in 2019 there is a possibility to study on the basis of benefits without payment on condition that you have a certificate of knowledge of Polish as a foreign language at level C1, which is issued by the State Commission for the Certification of Polish as a Foreign Language. 
16;24.txt;https://study-in-wroclaw.pl/en/kursy_jezykowe;"Are there any polish language preparatory courses?
What are the costs of polish language preparatory courses?"; Polish language courses Some universities run preparatory courses, for example Wroclaw University of Technology or University of Wroclaw, about which you can read in this article. These can be semester, monthly or yearly courses. Yearly preparatory courses for foreigners will be useful for future students whose knowledge of Polish is insufficient, for those who want to learn more about Polish culture and traditions. At the Wrocław University of Science and Technology there is a one - month summer course for people whose level of Polish is A2, so it is possible to raise the level of Polish to B2 and it is certified by an appropriate certificate. 110 hours of Polish language plus integration trips, you will visit museums, popular places ( e. g. Water Museum, Pan Tadeusz Museum 
16;24.txt;https://study-in-wroclaw.pl/en/kursy_jezykowe;"Are there any polish language preparatory courses?
What are the costs of polish language preparatory courses?"; A2, so it is possible to raise the level of Polish to B2 and it is certified by an appropriate certificate. 110 hours of Polish language plus integration trips, you will visit museums, popular places ( e. g. Water Museum, Pan Tadeusz Museum ). People will live in the dormitories of the Polytechnic. The annual courses run from October to June. Number of classes : 600 hours of Polish language per year, 5 times a week for 4 - 5 hours each. Such courses are held on different levels : from A1 to B2. Students acquire basic skills, the ability to understand the Polish language in speech and writing, the ability to read and write, writing various types of texts. In addition, students have classes in Polish culture and 
16;24.txt;https://study-in-wroclaw.pl/en/kursy_jezykowe;"Are there any polish language preparatory courses?
What are the costs of polish language preparatory courses?"; held on different levels : from A1 to B2. Students acquire basic skills, the ability to understand the Polish language in speech and writing, the ability to read and write, writing various types of texts. In addition, students have classes in Polish culture and history, various excursions. At Wrocław University of Science and Technology students also take classes in specific sciences ( it all depends on the chosen specialization and needs ) : mathematics, physics, biology, computer science, chemistry, geography, social sciences, etc. The course ends with a written and oral exam in Polish and the subjects of your choice. At the University of Wroclaw, 150 hours are dedicated to specialist vocabulary related to your future field of study. And if you plan to study at the Faculty 
16;24.txt;https://study-in-wroclaw.pl/en/kursy_jezykowe;"Are there any polish language preparatory courses?
What are the costs of polish language preparatory courses?"; etc. The course ends with a written and oral exam in Polish and the subjects of your choice. At the University of Wroclaw, 150 hours are dedicated to specialist vocabulary related to your future field of study. And if you plan to study at the Faculty of Mathematics and Natural Sciences – you have another 20 hours for specialist classes. The programme of language courses at the University of Wrocław : listening ( preparation for understanding academic classes ) reading comprehension ( preparation for independent work with academic texts ) writing ( e. g. ability to write a lecture ) conversation ( conversation in formal and informal situations, communication in seminars, presentations ) vocabulary ( according to the planned fields or professional activities ) Polish pronunciation. The cost of such courses varies from 1500 to 4000 euros 
16;24.txt;https://study-in-wroclaw.pl/en/kursy_jezykowe;"Are there any polish language preparatory courses?
What are the costs of polish language preparatory courses?"; e. g. ability to write a lecture ) conversation ( conversation in formal and informal situations, communication in seminars, presentations ) vocabulary ( according to the planned fields or professional activities ) Polish pronunciation. The cost of such courses varies from 1500 to 4000 euros per year. The cost depends on the number of hours, activities and enjoyable applications such as language lessons, excursions, classes in specialised subjects, free vouchers for entrance to various institutions such as museums, clubs, zoos, etc. The cost of English language courses will be more expensive compared to Polish language courses. There are no discounts for such courses, except for holders of the Card of Pole and it is 30 %. 
17;25.txt;https://study-in-wroclaw.pl/en/system_edukacji;"Are there any polish language preparatory courses?
What are the costs of polish language preparatory courses?"; Higher education system in Poland In total, there are approximately 457 universities and collegiate - level institutions of higher education, including 131 government - funded and 326 privately owned universities. Poland is an active member of the Bologna Process, which allows every student to use its benefits, there are : All universities take part in various student exchange programs and projects like Erasmus +, Erasmus Mundus, Visegrad Fund, Horizon 2020, etc. Dual Degree Program is the academic program, which helps to obtain diplomas from two universities ( polish and partner university ) in the course of a single course of study. ECTS ( European Credit Transfer System ) is a tool helps to evaluate student progress and simplify create an individual education program. After Bachelor ’ s degree in one 
17;25.txt;https://study-in-wroclaw.pl/en/system_edukacji;"Are there any polish language preparatory courses?
What are the costs of polish language preparatory courses?";s from two universities ( polish and partner university ) in the course of a single course of study. ECTS ( European Credit Transfer System ) is a tool helps to evaluate student progress and simplify create an individual education program. After Bachelor ’ s degree in one course of study, student could to get master ’ s degree on another ( within one branches : natural sciences, engineering, humanities, social sciences etc ) After bachelor ’ s degree students can officially take up full - time job at the company giving the possibility to get work experience and studying at the master ’ s studies Student ’ s Individual Plan is the study mode allows to combine and manage student ’ s work and study time. In other words, having an employment contract and accepted application by the 
17;25.txt;https://study-in-wroclaw.pl/en/system_edukacji;"Are there any polish language preparatory courses?
What are the costs of polish language preparatory courses?"; giving the possibility to get work experience and studying at the master ’ s studies Student ’ s Individual Plan is the study mode allows to combine and manage student ’ s work and study time. In other words, having an employment contract and accepted application by the dean ’ s office, student has the possibility to determine individual term and conditions with him lecturers for receiving credits for course Polish university - level education system is consist of three cycles of studies : Bachelor ’ s or Engineering Degree and lasts 3 or 3, 5 years Master ’ s Degree – 2 or 1, 5 years PhD – 4 years. There are also uniform master ’ s studies lasts from 9 to 12 semesters ( 5 - 6 years ). This special form of education involves with specifici 
17;25.txt;https://study-in-wroclaw.pl/en/system_edukacji;"Are there any polish language preparatory courses?
What are the costs of polish language preparatory courses?"; 3, 5 years Master ’ s Degree – 2 or 1, 5 years PhD – 4 years. There are also uniform master ’ s studies lasts from 9 to 12 semesters ( 5 - 6 years ). This special form of education involves with specificity these programs and no possible to divide studies into the first and second studies degree. According to the Regulation of the Minister of Science and Higher Education following sciences field must be conducted exclusively as uniform master ’ s degree : medicine, dentistry, medical analytics, pharmacy, physiotherapy, veterinary medicine, law, pre - school and early school education, special pedagogy, psychology 
18;26.txt;https://www.wroclaw.pl/en/cultural-offer-for-foreigners-in-wroclaw;Is there a cinema for foreigners? Is there a theater for foreigners? Is there an Opera in Wrocław? Where can I go to concert in Wrocław? Where can I find information about artistic experience? ;" A little something for cinema - goers For many foreigners staying in Wroclaw for longer, one of the most popular pastimes is going to the cinema or theatre. The needs of foreign enthusiasts of good cinema were catered to by Kino Nowe Horyzonty at ul. Kazimierza Wielkiego. This is where special screenings take place, as part of the cycle "" Polish Cinema for beginners. "" It is a series of encounters with the most interesting works of Polish cinema, dedicated primarily to foreigners. All films are shown with English subtitles, and are preceded by a lecture by an expert of the film world, who introduces the subject and the socio - historical context of the presented work. The screening is followed by a discussion. The "
18;26.txt;https://www.wroclaw.pl/en/cultural-offer-for-foreigners-in-wroclaw;Is there a cinema for foreigners? Is there a theater for foreigners? Is there an Opera in Wrocław? Where can I go to concert in Wrocław? Where can I find information about artistic experience? ; foreigners. All films are shown with English subtitles, and are preceded by a lecture by an expert of the film world, who introduces the subject and the socio - historical context of the presented work. The screening is followed by a discussion. The language of the event is English. A detailed repertoire is available here. In summer, Kino Nowe Horyzonty hosts the T - Mobile New Horizons Festival, known not only in the country, but also abroad, in which all films have English translation. Also, the language of both meetings with artists and information materials is English. Spotlight on theatre Also theatre - goers will find something for themselves. In this case, they can certainly count on the Polski Theatre at ul. Gabrieli Za 
18;26.txt;https://www.wroclaw.pl/en/cultural-offer-for-foreigners-in-wroclaw;Is there a cinema for foreigners? Is there a theater for foreigners? Is there an Opera in Wrocław? Where can I go to concert in Wrocław? Where can I find information about artistic experience? ; English translation. Also, the language of both meetings with artists and information materials is English. Spotlight on theatre Also theatre - goers will find something for themselves. In this case, they can certainly count on the Polski Theatre at ul. Gabrieli Zapolskiej, which translates some of their performances into English. Special subtitles appear on a screen above the stage, with the entire transcript. Most often, at least one performance of a given running cycle is translated. The audience of of the Main Stage and the Scene in Świebodzki can count on such performances. Information on such performances is available at Teatr Polski's website, where all information is available in English. For foreign visitors interested in theatre, a good choice might be the 
18;26.txt;https://www.wroclaw.pl/en/cultural-offer-for-foreigners-in-wroclaw;Is there a cinema for foreigners? Is there a theater for foreigners? Is there an Opera in Wrocław? Where can I go to concert in Wrocław? Where can I find information about artistic experience? ; Main Stage and the Scene in Świebodzki can count on such performances. Information on such performances is available at Teatr Polski's website, where all information is available in English. For foreign visitors interested in theatre, a good choice might be the Wroclaw Pantomime Theatre, where obviously hardly any words are used. This theatre also offers its repertoire translated to English. A little something for music lovers Surely all music lovers will find something for themselves in Wroclaw. Particularly interesting proposals are offered by the National Music Forum, where no translator is needed. Apart from the regularly scheduled concerts, foreign visitors are attracted here by many world - famous music festivals. Among them are : Vratislavia Cantans, Jazztopad, Musica 
18;26.txt;https://www.wroclaw.pl/en/cultural-offer-for-foreigners-in-wroclaw;Is there a cinema for foreigners? Is there a theater for foreigners? Is there an Opera in Wrocław? Where can I go to concert in Wrocław? Where can I find information about artistic experience? ; are offered by the National Music Forum, where no translator is needed. Apart from the regularly scheduled concerts, foreign visitors are attracted here by many world - famous music festivals. Among them are : Vratislavia Cantans, Jazztopad, Musica Polonica Nova and Leo Festival. Information on all concerts is available in English at the NFM's website. Also, Wroclaw Opera is completely open to foreigners. In this case, the repertoire and all important information on the planned performances is available in English HERE. How about an exhibition? All those wanting to have an interesting time in the capital of Lower Silesia can also go to one of the interesting exhibitions, e. g. in one of Wroclaw's museums. There, 
